CASE REFERENCE,OPEN DATE,CLOSED DATE,STATUS,SUBJECT,REASON,TYPE,OBJECT TYPE,ADDRESS NUMBER,ADDRESS LINE 1,ADDRESS LINE 2,CITY,STATE,ZIP CODE,PROPERTY ID,LOCATION,LATITUDE,LONGITUDE,COUNCIL DISTRICT,POLICE DISTRICT,CENSUS TRACT,CENSUS BLOCK GROUP,CENSUS BLOCK,NEIGHBORHOOD,X COORDINATE,Y COORDINATE
1000522614,04/23/2016 11:37:00 AM,04/26/2016 05:52:00 AM,Closed,Dept of Public Works,Sanitation,Garbage Missed Pick Up (Req_Serv),Street,,BRIDGEMAN,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000522658,04/25/2016 08:56:00 AM,04/29/2016 03:21:00 PM,Closed,Dept of Public Works,Engineering - Street Repairs,Pot Hole (Req_Serv),Street,,May St,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000522679,04/25/2016 09:19:00 AM,04/26/2016 08:34:00 AM,Closed,Dept of Parking,Parking Violations Bureau,PVB Single Meter (Req_Serv),Street,,Delaware Ave,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000522881,04/25/2016 01:39:00 PM,04/26/2016 04:52:00 PM,Closed,Dept of Public Works,Streets,Excess Trash (Req_Serv),Street,,Meadow Rd,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000522925,04/25/2016 02:28:00 PM,04/25/2016 02:37:00 PM,Closed,Dept of Public Works,Animal Shelter,Animals (Req_Serv),Property,26,CITY LINE,,Buffalo,NY,,90.75-5-21,,,,,,,,,UNKNOWN,,
1000522980,04/25/2016 05:30:00 PM,04/26/2016 04:52:00 PM,Closed,Dept of Public Works,Streets,Excess Trash (Req_Serv),Street,,SEABROOK,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000522999,04/26/2016 08:35:00 AM,04/26/2016 04:51:00 PM,Closed,Dept of Public Works,Streets,Excess Trash (Req_Serv),Street,,SEABROOK,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000523084,04/26/2016 11:01:00 AM,04/26/2016 03:28:00 PM,Closed,Dept of Parking,Parking Violations Bureau,PVB Single Meter (Req_Serv),Street,,HERTEL,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000523331,04/27/2016 10:57:00 AM,05/03/2016 07:00:00 AM,Closed,Dept of Public Works,Forestry,Stump Removal (Req_Serv),Property,10,RACHEL VINCENT WAY,,Buffalo,NY,,78.49-7-2,,,,,,,,,UNKNOWN,,
1000523634,04/28/2016 10:37:00 AM,04/28/2016 04:02:00 PM,Closed,Dept of Parking,Parking Violations Bureau,PVB Single Meter (Req_Serv),Street,,VIRGINIA ST,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000523937,04/29/2016 12:47:00 PM,04/29/2016 02:40:00 PM,Closed,Dept of Public Works,Streets,Bulk Trash (Req_Serv),Property,12,COLONIAL,,Buffalo,NY,,99.28-4-8,,,,,,,,,UNKNOWN,,
1000524122,05/02/2016 08:39:00 AM,05/03/2016 01:45:00 PM,Closed,Dept of Parking,Parking Violations Bureau,PVB Single Meter (Req_Serv),Street,,Washington St,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000524175,05/02/2016 09:43:00 AM,05/02/2016 11:24:00 AM,Closed,Buffalo Police Department,Police,Police Issue (Req_Serv),Street,,CAZENOVIA,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000524272,05/02/2016 11:53:00 AM,05/05/2016 10:51:00 AM,Closed,Dept of Parking,Parking Violations Bureau,PVB Pay Station (Req_Serv),Street,,Court St,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000524291,05/02/2016 12:28:00 PM,05/03/2016 01:56:00 PM,Closed,Dept of Public Works,Streets,Sweeper (Req_Serv),Street,,Paderewski Dr,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000524457,05/03/2016 08:42:00 AM,05/03/2016 01:56:00 PM,Closed,Dept of Public Works,Streets,Sweeper (Req_Serv),Street,,BARTON,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000524502,05/03/2016 09:50:00 AM,05/04/2016 11:43:00 AM,Closed,Dept of Public Works,Engineering - Street Repairs,Paving (Req_Serv),Street,,Elk St,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000524556,05/03/2016 11:16:00 AM,11/21/2016 11:29:00 AM,Closed,DPIS,Housing,Graffiti Private Property (Req_Serv),Property,,FELL ALY,,Buffalo,NY,,100021,,,,,,,,,UNKNOWN,,
1000524858,05/04/2016 11:10:00 AM,05/05/2016 03:07:00 PM,Closed,Dept of Public Works,Engineering - Street Repairs,Pot Hole (Req_Serv),Street,,WEST SHORE,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000524919,05/04/2016 12:21:00 PM,05/12/2016 10:58:00 AM,Closed,Dept of Public Works,Sanitation,Totes Replace (Req_Serv),Property,746,TAUNTON,,Buffalo,NY,,79.45-3-8,,,,,,,,,UNKNOWN,,
1000524948,05/04/2016 01:09:00 PM,06/14/2016 08:27:00 AM,Closed,Office of the Mayor,Citizen Services - Quick Response Teams,QRT Other Issue (Req_Serv),Street,,CULVER,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000524984,05/04/2016 02:14:00 PM,05/16/2016 11:15:00 AM,Closed,Dept of Public Works,Engineering - Traffic,Sign Maintenance (Req_Serv),Street,,AMHERST ST,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000525015,05/04/2016 03:17:00 PM,05/05/2016 10:02:00 AM,Closed,Dept of Public Works,Engineering - Street Repairs,Paving (Req_Serv),Street,,Wilson St,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000525068,05/05/2016 08:42:00 AM,05/05/2016 09:42:00 AM,Closed,Dept of Parking,Parking Violations Bureau,PVB Single Meter (Req_Serv),Street,,DELAWARE,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000525078,05/05/2016 08:45:00 AM,05/05/2016 09:56:00 AM,Closed,Dept of Parking,Parking Violations Bureau,PVB Single Meter (Req_Serv),Street,,Washington St,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000525125,05/05/2016 09:56:00 AM,05/18/2016 02:09:00 PM,Closed,Dept of Public Works,Rodent Control,Rodents (Req_Serv),Property,423,ADAMS,,Buffalo,NY,,111.42-4-42,,,,,,,,,UNKNOWN,,
1000525228,05/05/2016 12:41:00 PM,05/05/2016 03:19:00 PM,Closed,Dept of Parking,Parking Violations Bureau,PVB Single Meter (Req_Serv),Street,,Ellicott St,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000525272,05/05/2016 01:37:00 PM,05/05/2016 02:42:00 PM,Closed,Dept of Parking,Parking Violations Bureau,PVB Single Meter (Req_Serv),Street,,EAGLE EAST,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000525398,05/06/2016 08:43:00 AM,05/09/2016 12:14:00 PM,Closed,Dept of Parking,Parking Violations Bureau,PVB Single Meter (Req_Serv),Street,,Broadway St,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000525406,05/06/2016 08:57:00 AM,05/09/2016 12:19:00 PM,Closed,Dept of Parking,Parking Violations Bureau,Parking Issues (Req_Serv),Street,,CROWLEY,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
